TradeID,OrderRef,InstrumentID,Direction,OpenClose,TradePrice,TradedVol,TradeFee,OrderTime,TradeTime,TradingDay,YdLongPosition,YdShortPosition,LongPosition,ShortPosition,NetPosition,AvailableLongPosition,AvailableShortPosition,Exchange
FBT_0,FBO_0,SH601238,S,C,11.75,1000,8.225,9:30:03,9:30:03,20200102,0,0,0,0,0,0,0,WBFB
FBT_1,FBO_2,SH603633,S,C,10.36,400,2.9008,9:30:03,9:30:03,20200102,600,0,600,0,600,0,0,WBFB
FBT_2,FBO_2,SH603633,S,C,10.36,600,4.3512,9:30:03,9:30:03,20200102,0,0,0,0,0,0,0,WBFB
FBT_3,FBO_1,SH603633,B,O,10.12,1000,7.084,9:30:03,9:30:03,20200102,0,0,1000,0,1000,0,0,WBFB
FBT_4,FBO_3,SH600146,S,C,13.88,1000,9.716,9:30:06,9:30:06,20200102,0,0,0,0,0,0,0,WBFB
FBT_5,FBO_5,SZ300432,B,O,13.13,1000,9.191,9:30:10,9:30:10,20200102,1000,0,2000,0,2000,1000,0,WBFB
FBT_6,FBO_7,SZ300432,S,C,13.44,1000,9.408,9:30:13,9:30:13,20200102,0,0,1000,0,1000,0,0,WBFB
FBT_7,FBO_9,SZ002440,S,C,11.26,100,0.7882,9:30:15,9:30:15,20200102,900,0,900,0,900,0,0,WBFB
FBT_8,FBO_9,SZ002440,S,C,11.26,900,7.0938,9:30:15,9:30:15,20200102,0,0,0,0,0,0,0,WBFB
FBT_9,FBO_11,SH603701,S,C,12.94,1000,9.058,9:30:18,9:30:18,20200102,0,0,0,0,0,0,0,WBFB
FBT_10,FBO_12,SZ300319,S,C,12.64,1000,8.848,9:30:22,9:30:23,20200102,0,0,0,0,0,0,0,WBFB
FBT_11,FBO_14,SH603239,B,O,11.12,800,6.2272,9:30:30,9:30:37,20200102,1000,0,1800,0,1800,1000,0,WBFB
FBT_12,FBO_15,SZ300472,S,C,13.95,1000,9.765,9:30:39,9:30:40,20200102,0,0,0,0,0,0,0,WBFB
FBT_13,FBO_16,SZ002670,S,C,12.86,1000,9.002,9:30:45,9:30:45,20200102,0,0,0,0,0,0,0,WBFB
FBT_14,FBO_14,SH603239,B,O,11.12,200,1.5568,9:30:30,9:30:54,20200102,1000,0,2000,0,2000,1000,0,WBFB
FBT_15,FBO_19,SZ002670,B,O,12.82,1000,8.974,9:30:57,9:30:58,20200102,0,0,1000,0,1000,0,0,WBFB
FBT_16,FBO_21,SH603239,S,C,11.28,1000,7.896,9:31:01,9:31:02,20200102,0,0,1000,0,1000,0,0,WBFB
FBT_17,FBO_22,SH600984,S,C,10.55,100,0.7385,9:31:05,9:31:05,20200102,900,0,900,0,900,0,0,WBFB
FBT_18,FBO_22,SH600984,S,C,10.55,200,1.477,9:31:05,9:31:05,20200102,700,0,700,0,700,0,0,WBFB
